,Long,Lat,Sand,Prod
250,3.5716,5.7089,65.834,6.274
251,3.5717,5.7178,39.697,3.344
252,3.5717,5.7089,66.358,5.513
253,3.5717,5.7175,66.758,6.591
254,3.5717,5.7177,66.962,7.38
255,3.5717,5.709,66.225,6.18
256,3.5718,5.7087,40.105,3.836
257,3.5718,5.7085,67.31,6.433
258,3.5718,5.7088,40.506,4.627
259,3.5718,5.7077,40.479,3.41
260,3.5719,5.7085,66.914,7.149
261,3.5719,5.7084,66.318,6.579
262,3.5719,5.7083,66.58,6.308
263,3.5719,5.7088,66.145,5.964
264,3.572,5.7184,42.197,4.581
265,3.572,5.7087,34.225,2.496
266,3.572,5.7086,40.029,4.831
267,3.572,5.7082,67.174,6.757
268,3.5721,5.7088,34.059,3.244
269,3.5722,5.7084,66.206,5.952
270,3.5722,5.7076,23.973,3.137
271,3.5722,5.7089,39.737,4.615
272,3.5722,5.7077,40.404,2.682
273,3.5722,5.7087,66.416,7.461
274,3.5723,5.7085,66.367,6.801
275,3.5723,5.7144,37.318,3.85
276,3.5723,5.714,40.035,1.743
277,3.5724,5.7083,43.151,3.574
278,3.5724,5.7089,66.627,5.73
279,3.5724,5.714,39.892,3.486
280,3.5724,5.7143,37.274,4.732
281,3.5724,5.7179,39.858,4.07
282,3.5724,5.7188,42.244,4.889
283,3.5724,5.709,66.113,7.096
284,3.5724,5.7076,39.956,4.306
285,3.5725,5.7085,68.664,6.785
286,3.5725,5.7144,42.314,3.222
287,3.5725,5.7143,39.738,4.814
288,3.5725,5.7083,66.648,6.662
289,3.5725,5.709,66.047,6.35
290,3.5725,5.7086,67.36,7.017
291,3.5725,5.7139,40.252,4.22
292,3.5726,5.7077,76.902,8.357
293,3.5726,5.714,39.296,3.87
294,3.5726,5.7091,40.395,4.549
295,3.5726,5.7082,42.504,4.784
296,3.5726,5.7087,66.153,6.986
297,3.5726,5.7094,39.419,3.882
298,3.5727,5.7141,40.563,3.533
299,3.5727,5.7085,40.806,3.321
300,3.5727,5.7083,42.406,4.229
301,3.5727,5.7077,39.973,3.961
302,3.5727,5.7139,39.645,3.797
303,3.5727,5.7095,40.464,3.592
304,3.5727,5.7142,67.478,6.714
305,3.5727,5.7098,39.328,3.935
306,3.5727,5.709,66.968,7.595
307,3.5727,5.7088,66.034,7.131
308,3.5727,5.7137,68.746,8.02
309,3.5727,5.7086,42.613,3.895
310,3.5727,5.7082,42.298,4.303
311,3.5728,5.7188,66.233,7.052
312,3.5728,5.7156,39.474,4.505
313,3.5728,5.7077,39.755,4.3
314,3.5728,5.714,67.09,7.068
315,3.5728,5.7083,41.92,4.392
316,3.5728,5.7091,68.415,5.755
317,3.5728,5.7184,66.908,6.027
318,3.5728,5.7142,66.282,6.768
319,3.5728,5.7098,41.989,4.201
320,3.5728,5.7097,66.705,6.82
321,3.5728,5.7094,40.057,4.027
322,3.5728,5.7155,39.319,4.545
323,3.5728,5.7143,42.539,3.119
324,3.5728,5.7089,68.259,7.59
325,3.5728,5.7137,68.944,7.335
326,3.5728,5.7183,40.257,4.366
327,3.5728,5.7185,26.938,3.908
328,3.5728,5.7187,14.771,1.944
329,3.5729,5.7082,42.666,4.963
330,3.5729,5.7185,26.903,2.479
331,3.5729,5.7184,26.799,2.405
332,3.5729,5.7146,42.485,3.908
333,3.5729,5.7083,42.53,4.444
334,3.5729,5.7077,15.258,1.266
335,3.5729,5.7086,42.055,4.197
336,3.5729,5.7095,39.846,3.651
337,3.5729,5.7156,39.614,3.202
338,3.5729,5.7175,66.546,6.908
339,3.5729,5.7093,66.588,6.696
340,3.5729,5.7188,14.93,0.795
341,3.5729,5.7187,14.602,1.147
342,3.573,5.7077,15.27,0.623
343,3.573,5.7098,37.836,4.094
344,3.573,5.7083,39.721,3.466
345,3.573,5.7144,42.27,4.067
346,3.573,5.7087,66.357,6.963
347,3.573,5.7084,66.63,6.976
348,3.573,5.7095,39.865,3.754
349,3.573,5.7085,40.132,4.055
350,3.573,5.7086,39.373,3.352
351,3.573,5.7181,15.298,1.398
352,3.573,5.718,44.626,3.757
353,3.573,5.7183,15.44,2.664
354,3.573,5.7134,42.367,3.318
355,3.573,5.7188,26.239,3.246
356,3.573,5.7093,66.397,6.388
357,3.5731,5.7078,43.392,4.524
358,3.5731,5.7088,39.531,3.604
359,3.5731,5.7181,14.701,2.25
360,3.5731,5.718,34.279,3.695
361,3.5731,5.7179,34.26,3.93
362,3.5731,5.7177,38.477,4.706
363,3.5731,5.7094,40.312,3.185
364,3.5731,5.7157,42.795,5.187
365,3.5731,5.7092,40.874,3.697
366,3.5731,5.7139,67.38,6.413
367,3.5731,5.7183,21.567,1.975
368,3.5731,5.7136,66.695,6.131
369,3.5731,5.7148,43.001,4.146
370,3.5731,5.7143,41.952,4.292
371,3.5731,5.7134,43.274,4.482
372,3.5731,5.7187,15.317,1.002
373,3.5731,5.7185,26.46,3.077
374,3.5732,5.7086,66.31,6.492
375,3.5732,5.7179,44.682,4.69
376,3.5732,5.714,34.295,3.383
377,3.5732,5.7084,42.787,3.858
378,3.5732,5.7085,40.923,3.641
379,3.5732,5.7138,39.796,3.517
380,3.5732,5.7181,33.311,3.214
381,3.5732,5.7188,17.889,0.713
382,3.5732,5.7078,42.768,3.979
383,3.5732,5.7077,26.729,1.331
384,3.5732,5.7136,39.829,4.4
385,3.5732,5.7105,40.373,4.122
386,3.5732,5.7079,39.563,3.743
387,3.5732,5.7174,33.922,3.654
388,3.5732,5.7112,40.479,3.922
389,3.5732,5.708,39.818,3.525
390,3.5732,5.7183,26.464,2.622
391,3.5733,5.7136,43.196,4.533
392,3.5733,5.7077,26.19,2.916
393,3.5733,5.7178,21.198,1.733
394,3.5733,5.7142,40.614,3.244
395,3.5733,5.7186,26.068,2.076
396,3.5733,5.7088,59.866,6.468
397,3.5733,5.7138,43.388,4.64
398,3.5733,5.716,42.117,4.455
399,3.5733,5.7179,33.865,3.335
400,3.5733,5.7177,21.239,0.538
401,3.5733,5.7131,42.834,3.487
402,3.5733,5.7093,40.5,3.744
403,3.5733,5.7176,37.619,3.407
404,3.5733,5.7181,21.627,1.874
405,3.5733,5.7188,14.685,1.509
406,3.5733,5.7106,40.209,4.332
407,3.5733,5.718,18.034,1.579
408,3.5734,5.7105,40.063,5.271
409,3.5734,5.7101,39.618,3.876
410,3.5734,5.7093,39.987,3.224
411,3.5734,5.7084,39.712,4.359
412,3.5734,5.7134,39.878,4.098
413,3.5734,5.7172,77.226,7.471
414,3.5734,5.717,66.236,7.005
415,3.5734,5.7088,40.579,4.365
416,3.5734,5.7149,39.819,4.329
417,3.5734,5.7186,33.615,2.73
418,3.5734,5.7108,40.276,3.524
419,3.5734,5.7086,66.931,6.005
420,3.5734,5.7187,15.358,1.785
421,3.5734,5.714,24.147,2.129
422,3.5734,5.7174,34.083,3.737
423,3.5734,5.7077,22.937,1.624
424,3.5734,5.7147,39.55,3.884
425,3.5734,5.7141,66.264,6.265
426,3.5735,5.7183,26.545,2.269
427,3.5735,5.7186,26.778,3.223
428,3.5735,5.7179,21.015,1.967
429,3.5735,5.7078,40.776,4.073
430,3.5735,5.7085,42.162,3.726
431,3.5735,5.7184,26.342,2.139
432,3.5735,5.7178,23.551,2.793
433,3.5735,5.7181,20.873,1.318
434,3.5735,5.7145,40.019,4.329
435,3.5735,5.7089,66.995,7.26
436,3.5735,5.7119,39.899,4.142
437,3.5735,5.7136,39.934,4.613
438,3.5735,5.713,40.147,4.023
439,3.5735,5.7088,40.501,4.332
440,3.5735,5.7187,21.83,2.456
441,3.5735,5.7148,39.724,3.889
442,3.5735,5.7112,38.016,3.367
443,3.5735,5.709,39.933,3.633
444,3.5735,5.7121,40.134,4.294
445,3.5735,5.7077,23.986,1.677
446,3.5735,5.7171,42.432,3.642
447,3.5735,5.7135,65.979,7.563
448,3.5736,5.7154,39.364,4.009
449,3.5736,5.713,43.291,3.542
450,3.5736,5.7103,39.325,3.722
451,3.5736,5.7141,23.234,3.168
452,3.5736,5.7155,42.152,3.68
453,3.5736,5.7135,23.379,3.001
454,3.5736,5.7187,26.103,3.595
455,3.5736,5.7134,66.578,6.534
456,3.5736,5.711,52.749,5.556
457,3.5736,5.7181,33.488,3.247
458,3.5736,5.7176,33.882,3.269
459,3.5736,5.7128,45.041,4.267
460,3.5736,5.7138,17.04,1.939
461,3.5736,5.7146,66.546,6.898
462,3.5736,5.7179,23.129,3.156
463,3.5736,5.7142,44.909,3.837
464,3.5736,5.7169,42.596,4.239
465,3.5736,5.7148,39.694,4.101
466,3.5736,5.7186,45.185,5.321
467,3.5736,5.7129,45.503,4.578
468,3.5736,5.7136,21.654,2.176
469,3.5736,5.7144,34.264,3.483
470,3.5736,5.7149,53.036,4.482
471,3.5736,5.7168,42.148,5.016
472,3.5736,5.7119,52.282,5.727
473,3.5736,5.7188,26.201,2.826
474,3.5736,5.7171,39.838,3.458
475,3.5736,5.7139,18.254,1.381
476,3.5736,5.7121,53.03,5.431
477,3.5736,5.7106,66.185,7.524
478,3.5737,5.7152,40.289,4.304
479,3.5737,5.7112,42.349,3.441
480,3.5737,5.7153,39.883,3.021
481,3.5737,5.7121,40.465,4.249
482,3.5737,5.7128,14.129,1.194
483,3.5737,5.7118,52.99,5.269
484,3.5737,5.7146,23.349,2.107
485,3.5737,5.7179,27.191,2.578
486,3.5737,5.7148,39.49,4.013
487,3.5737,5.7116,40.721,4.422
488,3.5737,5.7141,24.053,3.105
489,3.5737,5.7127,23.517,2.885
490,3.5737,5.7137,24.432,2.712
491,3.5737,5.7142,23.056,2.383
492,3.5737,5.7139,17.756,0.622
493,3.5737,5.713,25.429,1.595
494,3.5737,5.7104,40.1,3.847
495,3.5737,5.7136,22.737,2.759
496,3.5737,5.7144,17.858,1.381
497,3.5737,5.7182,34.274,3.627
498,3.5737,5.717,42.269,3.8
499,3.5737,5.7119,39.353,4.328
500,3.5737,5.7132,24.388,2.627
501,3.5737,5.7174,23.909,2.479
502,3.5737,5.7145,18.169,2.731
503,3.5737,5.7147,17.518,1.338
504,3.5737,5.714,23.216,2.389
505,3.5737,5.7168,42.821,4.951
506,3.5738,5.7138,22.952,1.677
507,3.5738,5.7133,34.111,3.059
508,3.5738,5.7129,15.004,2.648
509,3.5738,5.7136,20.789,1.345
510,3.5738,5.7178,26.7,2.829
511,3.5738,5.714,24.104,2.488
512,3.5738,5.7175,14.347,1.525
513,3.5738,5.7172,34.177,3.649
514,3.5738,5.7186,45.431,4.405
515,3.5738,5.7146,17.97,2.324
516,3.5738,5.7143,15.351,1.692
517,3.5738,5.7111,33.842,4.113
518,3.5738,5.7147,27.034,2.876
519,3.5738,5.7142,26.835,2.666
520,3.5738,5.7127,24.261,2.681
